ID;DES_CARGO
61;Analista de Finan‡as e Controle
62;T‚cnico de Finan‡as e Controle
63;T‚cnico de Or‡amento
64;Analista de Or‡amento
65;T‚cnico de Planejamento e Or‡amento
66;Analista de Planejamento e Or‡amento
67;Assistente de Apoio …s Atividades Jur¡dicas
68;Auxiliar de Apoio …s Atividades Jur¡dicas - Agente de Portaria
69;Auxiliar de Atividades Culturais - Agente de Portaria
7;Analista de Apoio …s Atividades Policiais Civis
70;Auxiliar de Atividades do Hemocentro - Agente de Portaria
72;Auxiliar de Atividades de Limpeza P£blica - Agente de Portaria
73;Auxiliar de Apoio …s Atividades Policiais Civis - Agente de Portaria
74;T‚cnico Penitenci rio
76;Agente de Atividades Complementares de Seguran‡a P£blica
77;Auditor de Controle Interno - Finan‡as e Controle
78;Inspetor T‚cnico de Controle Interno - Finan‡as e Controle
79;Analista de Atividades do Meio Ambiente
8;T‚cnico de Apoio …s Atividades Policiais Civis
80;T‚cnico de Atividades do Meio Ambiente
81;Analista de Gest?o Educacional
82;Analista de Gest?o de Res¡duos S¢lidos
83;Analista de Atividade de Limpeza P£blica
84;T‚cnico de Atividade de Limpeza P£blica
85;Auxiliar de Atividade de Limpeza P£blica
86;Assistente de Gest?o de Res¡duos S¢lidos
87;Agente de Gest?o de Res¡duos S¢lidos
89;T‚cnico de Gest?o Educacional
9;Auxiliar de Apoio …s Atividades Policiais Civis
92;Agente de Gest?o Educacional
94;Analista de Trƒnsito
95;Assistente de Trƒnsito
96;Auxiliar de Trƒnsito
97;Analista de Atividades Culturais
98;T‚cnico de Atividades Culturais
99;Auxiliar de Atividades Culturais
